description	descriptions
Stereotype Squad	"Just awful -horrible dialogue, zero premise. Stereotype Squad as far as characters concerned...in particular the Asian 'character' which was obviously a laughably cynical afterthought and the Boomerang Joe or Pete (I didn't care) - I mean, come on! Will Smith seemed embarrassed or wincing delivering his lines -hard to tell -and as for Jared Leto's OTT indulgent 'acting' -sheesh. Margot Robbie was probably only one whose character had a few good lines. Sad to see the otherwise incredible actress from Secrets and Lies reduced to the ridiculous boss character. The CGI was awful, particularly the monster at the end. Didn't make me feel anything toward the characters -no emotional resonance whatsoever."
An overly hyped film and a very unfortunate disappointment	"Suicide Squad was a disappointment to me. May be I got hooked on the hype or was expecting too much from WB. This movie had a great concept that we saw on the small screen, both TV series and animated. For some reason, those formats did it better than this theatrical release.; This movie suffered from all fronts, poor writing which is the number one problem for me. The story was just all over the place with such in coherency, it's visible at every point. Not enough time was spent in developing these characters for their introduction to the big stage. Poor dialogue was another major problem which is just so stupid at some points.; But Suicide Squad still could have been saved with the main plot and a great villain. Sadly that too was a major problem. The main plot didn't make sense because the movie itself went in so many directions that none of it could have come together and gel.The villain was a total failure. Nothing about this person was intriguing and just falls so flat. Story and main purpose was so awful for a big summer blockbuster.; This movie probably only had about two things going for it. Majority of the casting was great including Will Smith, Margot Robbie, Viola Davis, Jared Leto, and Jai Courtney. Yes Jai Courtney, I'm shocked too. I really think his role should have been expanded. Notable miscast would be Joel Kinnaman and Cara Delevingne. Joel Kinnaman portrayal of Rick Flag was out of touch of what that character should be and for Enchantress, someone, more older with more acting depth should have been chosen over Cara Delevingne.; The other thing would be, through and through it's a much better movie than Batman V Superman. I know that's not really helping but still. A weak six stars and a onetime watch."
"problems, but overall enjoyed it"	"Y'know I didn't hate this like everyone in the world seems to. The characters were colorful, big. I guess it's a tough task to get them all equal screen time. My suggestion would have been to cut back on the members. Problem solved.; It doesn't quite have the fun of the trailer, which can happen when someone not involved with film cuts something that may not represent the film.; Harley Quinn obviously a stand out, but the BIG ONE for me, was seeing Batman, albeit briefly. Just enough to tantalize. Wetted my appetite for his solo film which can't come soon enough."
"""Suicide Squad"" made me wanna hang myself..."	"I'm not a fan of superhero films in general (a handful of exceptions do exist), but I was feeling (stupidly) optimistic for Suicide Squad. I went with my friends to see it, and while they admired parts of it and were able to have a good laugh about it, I couldn't. I didn't enjoy one second of the two hours I was in that seat. My eyes eventually began to water...; I was the only person in the theater who didn't enjoy it.; Everything about the film felt fragmented, and whether or not that was the intention is irrelevant to me, because I wouldn't have liked it either way. The soundtrack consists almost entirely of hit songs... clichéd songs (songs that I actually love by themselves).; The acting wasn't bad at all, but it always felt odd and off. I'm not doubting the talent of this cast because I've seen just about all of them play an amazing role elsewhere. I don't even want to get started on the humor. I'm no prude when it comes to comedy, but for the entire two hours of run time, I didn't even crack a smile. To me, the most entertaining part was my buddy quietly singing along to the songs as he set beside me, wholly immersed.; Action scenes were typical, predictable, and not very creative; just typical superhero movie fight scenes. As a whole, the film is so predictable that you could probably guess what's going to happen scene-by-scene as the story progresses.; As mentioned previously, this movie was so boring. Had I gone by myself, I would have definitely walked out probably the halfway point. I didn't feel invested. I didn't feel interested. I felt absolutely nothing.; You might be wondering as to why I gave SS a bonus star. It definitely tried, and I recognize a lot of the talent and effort that went into some of the special effects and makeup. I really couldn't give it much credit for anything else. The bonus star is for the production. Unimpressive, movie.; I know there are many people who also despise this movie, but it's in all honesty a very polarizing piece. You have to see it to make an actual decision, but I can certainly tell you where I stand. If you enjoyed it, kudos to you. I simply couldn't, despite really, really wanting to. Ten minutes in, my mind just gave up, and I sat there like a vegetable for the remaining one-hundred and ten."
Hilariously Bad	"Suicide Squad was a horrible film. I don't even know where to begin. I went in hoping that the critics were wrong, and it would be an entertaining summer blockbuster. I was painfully mistaken.; First of all, the dialogue was atrocious. Especially from Harley Quinn. Everything that comes out of her mouth makes me want to cringe. ""We're bad guys, it's what we do."" ""Puddin', I don't know how to swim."" Terribly delivered lines. I can't blame Margot Robbie for this performance. No one could say those lines without sounding like nails on a chalkboard. Every line that comes from Viola Davis' mouth sounds like they're trying to be sophisticated, but they don't make any sense. ""We put they (or her/ him, can't remember) in a hole and threw away the hole."" What a great line. Also, the last line from the terribly forgettable villain (a seven-thousand year old witch that wants to kill every human on Earth) was ""you don't have the balls."" Bravo. I also remember Deadshot's daughter to have very bad lines, but maybe it was just her robotic acting. And I know it's nitpicking, but the Joker's laugh as he lays down beside his knives in one scene (was also in the trailer, I think) tried to be creepy and menacing, but came off has laughable. But more on the Joker later.; Next, the structure. The first fifteen to twenty minutes is just introducing characters. Viola Davis sits down, and talks with food in her mouth, telling several men about the villains (which would later become the Suicide Squad). I even have a problem with *this* because they introduce only Harley Quinn and Deadshot, and suddenly the title pops up, and then they get back to introducing the rest. Either have the title at the beginning of the film, or introduce everyone, and then play the title. Anyway, almost the entire movie takes place in a city, going through buildings. The same place in the trailers. We see flashbacks to each member of ""the Suicide Squad's"" past life (except for Killer Croc, and there's only one for Captain Boomerang, that only lasts a few seconds during the introduction). This film really confused me at first. I have no prior knowledge of the Suicide Squad in the comics, so I thought Cara Delevingne's character (who is the villain) was a part of the Suicide Squad at first. The way she got possessed by the witch (don't remember her actual name) was walking through a cave, and she broke off the head of some doll, and apparently got possessed. They give no backstory on who this witch is, where she came from, why she had a doll in a cave. You really just have to accept it. Most of the other backstories are cliché. The ""Fire"" guy (don't remember his name) was a family man who loved his children, but one day he killed them all in a freak accident. Deadshot, another family man, loves his daughter, but was arrested by Batman because she ""told him not to shoot"". Harley Quinn's backstory is a tad fuzzy. She falls in love with the Joker at the Arkham Asylum (she's apparently his counselor or something), gets a machine gun for him, becomes a stripper, and falls into a barrel of paint. Best not to ask questions. Then the Joker drives her off a bridge, and Batman saves her. There's no real plot to this movie. Viola Davis wants them to kill the witch, who is terrorizing the city, they have awkward conversations and argue along the way, Harley Quinn breaks a window, then they go to the witch (she also has this boyfriend, but don't even remember what he looks like) kill her boyfriend, the Harley Quinn stabs her, and her *other* boyfriend (who fell in love with Cara Delevingne) crushes her heart. And they leave it on a cliffhanger, when the Joker breaks into Harley's prison cell, and lets her escape.; This film is also unnecessarily dark. No, really, it was hard to even see what was happening at times, because the film had some sort of ""shadow palette"" added to it. Why is DC trying to make their films as dark as possible? The Man of Steel was dark, Batman V Superman was dark. Make a film colorful if you want to include ""humor"". It's like Breaking Bad taking place on Sesame Street.; Lastly, the Joker. Why is Leto's Joker being applauded? I personally think Leto is a great actor, but his performance reminded me of Lex Luthor in Batman V Superman. Way too over-the-top. He's hardly even in the film. I feel like he tries to be menacing, but everything he does just falls flat. They shouldn't have included him in this film, I felt if he had more backstory and purpose (and less over-the-top acting) I would have enjoyed his performance just a little more.; I give this film a 2/10, and wouldn't recommend this anyone. Wasn't even very entertaining. The only reason I give this a 2 instead of a 1 is because they actually put effort into this film. I can tell Jared Leto, Will Smith, Margot Robbie, and everyone else in this film is actually trying to put in effort to their performance, but they fail in doing so."
Corny and predictable	"Talk about corny jokes, this movie is full of them. The story is so predictable and the characters are not good at all. Will Smith as Deadshot, bad, Harley Quinn, annoying, Killer Croc unbelievable, boomerang dumb, Joker just ridiculous.; How did this movie get a 6.8? This was just dumb and the plot made no sense. Where are all the regular super heroes that originally caught the ss? Flash, Batman, etc...; I really didn't want to see this to begin with cause even the previews looked corny and bad but my son wanted to go so I took him.; Save your money and watch it on video, it won't be long."
Overall an enjoyable experience	"Suicide Squad, although first shown as a gritty movie like its predecessors, turned out to be a genuinely fun and exciting movie filled with thrills and occasional spills. The cast had pretty good chemistry, characters interacted with one another very fluidly and pretty much everything made sense and fit together. Although the story was a bit predictable and at times stale, it made up with amazing fighting choreography and mind-blowing special effects. And the joker was legitimately one of the best jokers I have ever seen, even better than jack Nicholson's's portrayal.; Overall recommend this movie to fans and casuals alike."
As a fan of 1987 Suicide Squad comics I was pleased	"First off, this can't be looked at in comparison to The Dark Knight because these are two very different stories in the Gotham Universe. People going into this with that mindset might be disappointed. I know this was more based off the 2011 Suicide Squad comics which I don't mind. I found it odd Deadshot got the spotlight as more of a ""main character"" type. It was something I could dislike easily because she's usually quiet and menacing in the background. Will Smith ended up playing a great Deadshot. As much as I love Harley, Joker steals the show. I love the classic cartoon Joker and he played it brilliantly.; There's some good character development and the writing was more funny than I expected but DC is just so dark all the time I felt like it enhanced it. It's funny but in a dark twisted way in the comics. If I had to say some negatives... I don't like the shaky-cam action fight that are way too zoomed in to see anything. It was tolerable and there were some great action movie moments. However because they had character development, it allows the audience to care more about the fights/action. You can have a good character piece with bad action cause at least you care about what's going on. Bad writing or bad character presentation with great action will not get the crowd to have a reaction. But I wouldn't go as far as calling it bad. However the editing was terrible. I heard they took this movie into a focus group who knew nothing about movies or proper story structure for that matter and let them dictate what happened to it. David Ayer did a great job, don't ruin his work through editing. I'm reviewing this based off what I saw in his original idea. The movie would get a 9 if they didn't change it.; I can't really judge it on a typical movie goer scale because I go to see the comic book movies for a reason. When they get it right, it's gold. I don't mind a few changes if they positively affect the overall outcome. This movie succeeded with that. I'd highly recommend to comic fans."
Unbelievable...	For the budget and start power... This was a total waste of time.; I so want to like and enjoy this movie... But I simply couldn't...; Over the top acting...; Unrealistic story line...; Lousy interactions...; Even the bad guys are terrible at being bad...; Batman... Hahaha... Utterly crap and needs a new bat-suit... This is an imitation Batman I need 10 lines but can't think of anything thing remotely decent to say about this movie...; Oh... Will Smith... Missed the disaster of independence day but crapped out here instead...; To anyone reading this...I implore you... don't waste your time and money... Don't even watch it on TV for free... I'm certain you'll find more joy watching grass grow...; 1.5 out of 10... Some OK explosions...
DC (Disappointing Cinema)	"If you go into this movie with low expectations (like Transformers type expectations) I feel like it would possible to have a alright time and you could moderately enjoy the film. The movie is all over the place from the beginning and doesn't ever quite hit its stride in establishing It's identity as a film. The character development was unconvincingly rushed; in what seemed like no time at all the independent, villainous, metahumans go from being hellbent on revenge and/or escape to becoming a super positive tight knit ""family"". The humour was very hit and miss as most of the intended funny moments felt awkwardly forced and/or geared towards a yonder audience. There were often moments where it seemed they were pushing really hard for a laugh, but instead, it just came across forced opposed to organic. On the upside the acting was solid for the most part and the movie boasted an awesome soundtrack throughout. Overall I was pretty disappointed with Suicide Squad and recommend skipping right over this flopped summer blockbuster."
Suicide Squad arrives posthumously ...	Apart from Jared Leto's turn as The Joker and a few fun moments with Robbie and Leto this comic book entry is flat and somewhat dull despite the action.; The premise: In the wake of Superman's death an Intel Operative proposes to utilize the skills of some criminals with powers of their own (ala The Dirty Dozen) against an enchantress and her minions.; The introduction of each of the super criminals gives hope that this is going to be a fun ride but it never pans out. Much humor is needed but the little we get is pathetic! This is an example of a project poorly thought out and even more poorly executed.
Awful	"If you want to enjoy this do not ask logical questions. Of course if I wanted a documentary movie , but logical inconsistencies here are too much...; How a camera mounted on boomerang would not flip?How the boomerang was capable to hover?; Why the enchantress didn't took the Amanda Waller's phone and killed the whole suicide squad?; How the El Diablo didn't triggered the explosive when he went full fire?; How the explosive was capable to kill the 'brother' but combination of fire, bullets and katana cuts was not? Explosion didn't look so powerful...; Why at her final appearance Amanda Waller had her fingers on the touch screen of her phone and this didn't kill anyone? Who gave Harley a cell phone? And did't spy her communication at least? This could save few marine's life and a helicopter.; Why Deadshot,Boomerang,Slipknot,Harley Quinn (and even Katana) were considered as meta humans?; Why Amanda took the helicopter as it was the helicopter? There was no helicopter operational more than 2 minutes , before it was took down.; Does the enchantress has two hearts at the end? How nobody recognized her brother's statue as a dangerous thing? Was his heart hidden somewhere? And what kind of archaeologist was June? She brook the potential precious artifact?And she was alone in the jungle?; Why Slipknot was not present in the initial intro of the 'metahumans'. He came out of nowhere and died stupidly.; How the squad attached so fast to each other? Especially the boomerang who killed his biddy during the robbery.; And even a simple pistol is a superior weapon than this stupid boomerangs.What was the point of captain boomerang , except the hovering boomerang with the camera?; And the joker was a joke. Who the hell thought that a joker without eyebrows will be a good idea. His face is so expressionless without the eyebrows.; And these flashbacks were so chaotic...."
Pro's and Con's of Suicide Squad	"I have been waiting for this movie since last summer. Part of me enjoyed the film while the other part is so disappointed. (If that makes sense); Lets start off with the pro's. Margot Robbie, Jared Leto, Viola Davis, and Will Smith were all great for their roles, most of the humor worked, Harley Quinn was exactly what I had expected her to be and she was the best thing in the movie (just my opinion), Diablo's full powers were very unexpected and awesome at the end, the soundtrack is perfect, the practical effects were used very well - Killer Crocs makeup looked so realistic.; Now the cons -The CGI was a bit iffy at times, Katana, Killer Croc, and Slipknot were literally there for no reason. I get that they used Slipknot to prove a point (don't mess with The Wall or you'll get your head blown off) but I feel like we needed to know the character a bit more. Scott Eastwood is just a soldier. That's it. The villain's motive weren't very clear.The Enchantress and her brother wanting to destroy was so out of nowhere. Just like Xmen Apocalypse. Literally so much of the footage from the trailers and the behind the scenes footage/pictures were cut from the final product which was a huge disappointment for me. I also feel like we didn't really get to know the character June Moone in order for it to be emotional at the end before she wakes back up. The monsters that were apart of Enchantress's army were basically harmless. I mean they could fight but they were such an easy target. I also felt like the bond between the squad was so forced and way too rushed. The action sequences could have been way better instead they were so messy. The marketing made it seem like the Joker was going to be one main stars but he ended up being in a small portion of the film. The editing is so bad. Soo bad.; At the end, although the editing, screenplay, and CGI weren't great at times, underused characters were added for no reason, and so much was cut from the film - most of the acting worked, practical effects were appreciated, and the light tone was a big step up for DC. Suicide Squad is nothing more then a fun flick to watch when you're bored."
Hilariously Bad	"Suicide Squad was a horrible film. I don't even know where to begin. I went in hoping that the critics were wrong, and it would be an entertaining summer blockbuster. I was painfully mistaken.; First of all, the dialogue was atrocious. Especially from Harley Quinn. Everything that comes out of her mouth makes me want to cringe. ""We're bad guys, it's what we do."" ""Puddin', I don't know how to swim."" Terribly delivered lines. I can't blame Margot Robbie for this performance. No one could say those lines without sounding like nails on a chalkboard. Every line that comes from Viola Davis' mouth sounds like they're trying to be sophisticated, but they don't make any sense. ""We put they (or her/ him, can't remember) in a hole and threw away the hole."" What a great line. Also, the last line from the terribly forgettable villain (a seven-thousand year old witch that wants to kill every human on Earth) was ""you don't have the balls."" Bravo. I also remember Deadshot's daughter to have very bad lines, but maybe it was just her robotic acting. And I know it's nitpicking, but the Joker's laugh as he lays down beside his knives in one scene (was also in the trailer, I think) tried to be creepy and menacing, but came off has laughable. But more on the Joker later.; Next, the structure. The first fifteen to twenty minutes is just introducing characters. Viola Davis sits down, and talks with food in her mouth, telling several men about the villains (which would later become the Suicide Squad). I even have a problem with *this* because they introduce only Harley Quinn and Deadshot, and suddenly the title pops up, and then they get back to introducing the rest. Either have the title at the beginning of the film, or introduce everyone, and then play the title. Anyway, almost the entire movie takes place in a city, going through buildings. The same place in the trailers. We see flashbacks to each member of ""the Suicide Squad's"" past life (except for Killer Croc, and there's only one for Captain Boomerang, that only lasts a few seconds during the introduction). This film really confused me at first. I have no prior knowledge of the Suicide Squad in the comics, so I thought Cara Delevingne's character (who is the villain) was a part of the Suicide Squad at first. The way she got possessed by the witch (don't remember her actual name) was walking through a cave, and she broke off the head of some doll, and apparently got possessed. They give no backstory on who this witch is, where she came from, why she had a doll in a cave. You really just have to accept it. Most of the other backstories are cliché. The ""Fire"" guy (don't remember his name) was a family man who loved his children, but one day he killed them all in a freak accident. Deadshot, another family man, loves his daughter, but was arrested by Batman because she ""told him not to shoot"". Harley Quinn's backstory is a tad fuzzy. She falls in love with the Joker at the Arkham Asylum (she's apparently his counselor or something), gets a machine gun for him, becomes a stripper, and falls into a barrel of paint. Best not to ask questions. Then the Joker drives her off a bridge, and Batman saves her. There's no real plot to this movie. Viola Davis wants them to kill the witch, who is terrorizing the city, they have awkward conversations and argue along the way, Harley Quinn breaks a window, then they go to the witch (she also has this boyfriend, but don't even remember what he looks like) kill her boyfriend, the Harley Quinn stabs her, and her *other* boyfriend (who fell in love with Cara Delevingne) crushes her heart. And they leave it on a cliffhanger, when the Joker breaks into Harley's prison cell, and lets her escape.; This film is also unnecessarily dark. No, really, it was hard to even see what was happening at times, because the film had some sort of ""shadow palette"" added to it. Why is DC trying to make their films as dark as possible? The Man of Steel was dark, Batman V Superman was dark. Make a film colorful if you want to include ""humor"". It's like Breaking Bad taking place on Sesame Street.; Lastly, the Joker. Why is Leto's Joker being applauded? I personally think Leto is a great actor, but his performance reminded me of Lex Luthor in Batman V Superman. Way too over-the-top. He's hardly even in the film. I feel like he tries to be menacing, but everything he does just falls flat. They shouldn't have included him in this film, I felt if he had more backstory and purpose (and less over-the-top acting) I would have enjoyed his performance just a little more.; I give this film a 2/10, and wouldn't recommend this anyone. Wasn't even very entertaining. The only reason I give this a 2 instead of a 1 is because they actually put effort into this film. I can tell Jared Leto, Will Smith, Margot Robbie, and everyone else in this film is actually trying to put in effort to their performance, but they fail in doing so."
Corny and predictable	"Talk about corny jokes, this movie is full of them. The story is so predictable and the characters are not good at all. Will Smith as Deadshot, bad, Harley Quinn, annoying, Killer Croc unbelievable, boomerang dumb, Joker just ridiculous.; How did this movie get a 6.8? This was just dumb and the plot made no sense. Where are all the regular super heroes that originally caught the ss? Flash, Batman, etc...; I really didn't want to see this to begin with cause even the previews looked corny and bad but my son wanted to go so I took him.; Save your money and watch it on video, it won't be long."
Overall an enjoyable experience	"Suicide Squad, although first shown as a gritty movie like its predecessors, turned out to be a genuinely fun and exciting movie filled with thrills and occasional spills. The cast had pretty good chemistry, characters interacted with one another very fluidly and pretty much everything made sense and fit together. Although the story was a bit predictable and at times stale, it made up with amazing fighting choreography and mind-blowing special effects. And the joker was legitimately one of the best jokers I have ever seen, even better than jack Nicholson's's portrayal.; Overall recommend this movie to fans and casuals alike."
As a fan of 1987 Suicide Squad comics I was pleased	"First off, this can't be looked at in comparison to The Dark Knight because these are two very different stories in the Gotham Universe. People going into this with that mindset might be disappointed. I know this was more based off the 2011 Suicide Squad comics which I don't mind. I found it odd Deadshot got the spotlight as more of a ""main character"" type. It was something I could dislike easily because she's usually quiet and menacing in the background. Will Smith ended up playing a great Deadshot. As much as I love Harley, Joker steals the show. I love the classic cartoon Joker and he played it brilliantly.; There's some good character development and the writing was more funny than I expected but DC is just so dark all the time I felt like it enhanced it. It's funny but in a dark twisted way in the comics. If I had to say some negatives... I don't like the shaky-cam action fight that are way too zoomed in to see anything. It was tolerable and there were some great action movie moments. However because they had character development, it allows the audience to care more about the fights/action. You can have a good character piece with bad action cause at least you care about what's going on. Bad writing or bad character presentation with great action will not get the crowd to have a reaction. But I wouldn't go as far as calling it bad. However the editing was terrible. I heard they took this movie into a focus group who knew nothing about movies or proper story structure for that matter and let them dictate what happened to it. David Ayer did a great job, don't ruin his work through editing. I'm reviewing this based off what I saw in his original idea. The movie would get a 9 if they didn't change it.; I can't really judge it on a typical movie goer scale because I go to see the comic book movies for a reason. When they get it right, it's gold. I don't mind a few changes if they positively affect the overall outcome. This movie succeeded with that. I'd highly recommend to comic fans."
Unbelievable...	For the budget and start power... This was a total waste of time.; I so want to like and enjoy this movie... But I simply couldn't...; Over the top acting...; Unrealistic story line...; Lousy interactions...; Even the bad guys are terrible at being bad...; Batman... Hahaha... Utterly crap and needs a new bat-suit... This is an imitation Batman I need 10 lines but can't think of anything thing remotely decent to say about this movie...; Oh... Will Smith... Missed the disaster of independence day but crapped out here instead...; To anyone reading this...I implore you... don't waste your time and money... Don't even watch it on TV for free... I'm certain you'll find more joy watching grass grow...; 1.5 out of 10... Some OK explosions...
DC (Disappointing Cinema)	"If you go into this movie with low expectations (like Transformers type expectations) I feel like it would possible to have a alright time and you could moderately enjoy the film. The movie is all over the place from the beginning and doesn't ever quite hit its stride in establishing It's identity as a film. The character development was unconvincingly rushed; in what seemed like no time at all the independent, villainous, metahumans go from being hellbent on revenge and/or escape to becoming a super positive tight knit ""family"". The humour was very hit and miss as most of the intended funny moments felt awkwardly forced and/or geared towards a yonder audience. There were often moments where it seemed they were pushing really hard for a laugh, but instead, it just came across forced opposed to organic. On the upside the acting was solid for the most part and the movie boasted an awesome soundtrack throughout. Overall I was pretty disappointed with Suicide Squad and recommend skipping right over this flopped summer blockbuster."
Suicide Squad arrives posthumously ...	Apart from Jared Leto's turn as The Joker and a few fun moments with Robbie and Leto this comic book entry is flat and somewhat dull despite the action.; The premise: In the wake of Superman's death an Intel Operative proposes to utilize the skills of some criminals with powers of their own (ala The Dirty Dozen) against an enchantress and her minions.; The introduction of each of the super criminals gives hope that this is going to be a fun ride but it never pans out. Much humor is needed but the little we get is pathetic! This is an example of a project poorly thought out and even more poorly executed.
Awful	"If you want to enjoy this do not ask logical questions. Of course if I wanted a documentary movie , but logical inconsistencies here are too much...; How a camera mounted on boomerang would not flip?How the boomerang was capable to hover?; Why the enchantress didn't took the Amanda Waller's phone and killed the whole suicide squad?; How the El Diablo didn't triggered the explosive when he went full fire?; How the explosive was capable to kill the 'brother' but combination of fire, bullets and katana cuts was not? Explosion didn't look so powerful...; Why at her final appearance Amanda Waller had her fingers on the touch screen of her phone and this didn't kill anyone? Who gave Harley a cell phone? And did't spy her communication at least? This could save few marine's life and a helicopter.; Why Deadshot,Boomerang,Slipknot,Harley Quinn (and even Katana) were considered as meta humans?; Why Amanda took the helicopter as it was the helicopter? There was no helicopter operational more than 2 minutes , before it was took down.; Does the enchantress has two hearts at the end? How nobody recognized her brother's statue as a dangerous thing? Was his heart hidden somewhere? And what kind of archaeologist was June? She brook the potential precious artifact?And she was alone in the jungle?; Why Slipknot was not present in the initial intro of the 'metahumans'. He came out of nowhere and died stupidly.; How the squad attached so fast to each other? Especially the boomerang who killed his biddy during the robbery.; And even a simple pistol is a superior weapon than this stupid boomerangs.What was the point of captain boomerang , except the hovering boomerang with the camera?; And the joker was a joke. Who the hell thought that a joker without eyebrows will be a good idea. His face is so expressionless without the eyebrows.; And these flashbacks were so chaotic...."
Pro's and Con's of Suicide Squad	"I have been waiting for this movie since last summer. Part of me enjoyed the film while the other part is so disappointed. (If that makes sense); Lets start off with the pro's. Margot Robbie, Jared Leto, Viola Davis, and Will Smith were all great for their roles, most of the humor worked, Harley Quinn was exactly what I had expected her to be and she was the best thing in the movie (just my opinion), Diablo's full powers were very unexpected and awesome at the end, the soundtrack is perfect, the practical effects were used very well - Killer Crocs makeup looked so realistic.; Now the cons -The CGI was a bit iffy at times, Katana, Killer Croc, and Slipknot were literally there for no reason. I get that they used Slipknot to prove a point (don't mess with The Wall or you'll get your head blown off) but I feel like we needed to know the character a bit more. Scott Eastwood is just a soldier. That's it. The villain's motive weren't very clear.The Enchantress and her brother wanting to destroy was so out of nowhere. Just like Xmen Apocalypse. Literally so much of the footage from the trailers and the behind the scenes footage/pictures were cut from the final product which was a huge disappointment for me. I also feel like we didn't really get to know the character June Moone in order for it to be emotional at the end before she wakes back up. The monsters that were apart of Enchantress's army were basically harmless. I mean they could fight but they were such an easy target. I also felt like the bond between the squad was so forced and way too rushed. The action sequences could have been way better instead they were so messy. The marketing made it seem like the Joker was going to be one main stars but he ended up being in a small portion of the film. The editing is so bad. Soo bad.; At the end, although the editing, screenplay, and CGI weren't great at times, underused characters were added for no reason, and so much was cut from the film - most of the acting worked, practical effects were appreciated, and the light tone was a big step up for DC. Suicide Squad is nothing more then a fun flick to watch when you're bored."
Awful	"My god, that was AWFUL. Just random made-for-trailer tiny scenes that add to nothing, have zero depth and don't make up a coherent plot. Wall-to-wall inappropriate songs that come at random times. Boring plot (if you can even call it that), boring and indistinguishable flat characters. Harley Quinn was annoying. Jared Leto did his best as The Joker but had absolutely nothing to work with - he just appears at random times for a few seconds and disappears. There's no depth and no story. If you've seen the trailers, you basically saw all the one-liners and ""money shots"".; If all that isn't enough, the last third of the movie is simply unwatchable.; I don't think David Ayer is a bad director (I liked HARSH TIMES and FURY), but this is definitely his worst movie yet and I'm pretty sure it's due to massive pressure from the producers."
